Trial, Brushing (minute:second), Taking pill, Eating
1, 00:02.41, 00:03.19, 00:03.69
2, 00:02.79, 00:03.81, 00:03.72
3, 00:03.06, 00:02.68, 00:03.32
4, 00:03.60, 00:03.40, 00:02.16
5, 00:02.80, 00:02.97, 00:02.71
6, 00:03.16, 00:02.96, 00:02.18
7, 00:03.08, 00:02.78, 00:02.74
8, 00:02.67, 00:02.89, 00:02.56
9, 00:02.82, 00:03.03, 00:01.91
10, 00:03.23, 00:02.56, 00:01.99
11, 00:02.81, 00:03.06, 00:02.32
12, 00:03.18, 00:02.62, 00:01.96
13, 00:03.05, 00:02.70, 00:02.58
14, 00:02.85, 00:02.79, 00:02.68
15, 00:02.59, 00:03.27, 00:02.12
16, 00:02.67, 00:03.29, 00:02.20
17, 00:02.90, 00:02.61, 00:02.58
18, 00:02.95, 00:03.45, 00:03.18
19, 00:03.09, 00:03.42, 00:02.03
20, 00:04.03, 00:02.59, 00:02.40
